symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
RELIANCE,Oil & Gas - Refining & Marketing,Energy,2917.3,2002983,28.77,2.42,2.18,17.41,13.32,0.37,7.77,25.93,14.04,3.4
TCS,IT Services & Consulting,Information Technology,3801.7,1392782.79,30.34,15.25,5.68,31.41,20.02,1.9,50.3,18.42,-0.38,-0.64
HDFCBANK,Private Banks,Financials,1657.85,1153545.7,18.01,3.97,2.83,55.42,12.5,0.94,17.09,3.35,0.3,10.12
BHARTIARTL,Telecom Services,Communication Services,1392.35,826210.7,110.65,7.76,5.36,12.65,14.2,0.58,8.41,68.13,40.86,5.21
ICICIBANK,Private Banks,Financials,1144.45,795799.95,17.98,3.6,3.36,99999,10.83,0.88,16.63,23.97,12.7,-0.74
SBIN,Public Banks,Financials,852.6,739493.34,11.02,1.72,1.24,34.18,4.51,0,16.72,49.88,30.09,2.95
LICI,Insurance,Financials,1031.5,651316.64,15.92,14.05,0.76,11.95,14.13,0.97,124.54,66.83,29.9,7.87
INFY,IT Services & Consulting,Information Technology,1511.35,606591.74,23.12,6.86,3.83,24.06,14.28,3.14,31.94,16.8,-3.01,3.89
HINDUNILVR,FMCG - Household Products,Consumer Staples,2457,556629.92,54.16,10.82,8.85,35.98,35.29,1.77,20.16,-8.43,-4.05,7.29
ITC,FMCG - Tobacco,Consumer Staples,423.65,544583.55,26.62,7.83,7.4,28.85,18.06,3.14,29,-6.6,-7.11,-1.82
LT,Construction & Engineering,Industrials,3589.95,498472.12,38.17,4.86,2.21,27.29,17.22,0.94,12.67,51.71,2.6,6.42
BAJFINANCE,Consumer Finance,Financials,7233.95,422525.88,29.24,7.77,7.68,99999,31.76,0.51,23.46,-2.06,-5.22,8.94
MARUTI,Four Wheelers,Consumer Discretionary,12242.1,408737.49,30.3,6.61,2.8,44.18,17.92,0.92,14.02,28.43,19.63,-0.75
ADANIENT,Commodities Trading,Industrials,3261.9,385884.68,119.12,8.73,3.93,37.42,35.76,0.04,7.89,35.83,10.9,8.03
HCLTECH,IT Services & Consulting,Information Technology,1445.85,364278.88,23.2,5.57,3.27,20.23,13.58,3.87,23.31,27.1,-2.85,8.06
NTPC,Power Generation,Utilities,362.5,363576.5,17.47,2.41,1.98,9.08,10.36,2.07,11.66,95.05,17.07,0.85
AXISBANK,Private Banks,Financials,1226.65,362550.09,13.78,2.79,2.63,16.42,7.23,0.08,8.7,27.03,9.5,4.8
SUNPHARMA,Pharmaceuticals,Health Care,1504,356709.13,37.25,6.01,7.16,71.93,25.34,0.91,15.35,50.13,20.81,-0.96
ONGC,Oil & Gas - Exploration & Production,Energy,271.55,356336.41,7.24,1.18,0.54,4.23,4.19,4.32,12.13,72.08,35.57,-2.8
TATAMOTORS,Four Wheelers,Consumer Discretionary,977.35,352184.77,11.22,3.78,0.79,5.19,6.25,0.58,43.1,72.66,34.08,3.39
HAL,Aerospace & Defense Equipments,Industrials,5311.95,345532.64,45.34,14.66,10.7,39.13,27.89,0.43,27.17,172.87,90.57,15.55
KOTAKBANK,Private Banks,Financials,1746.7,338634.14,18.84,3.02,3.59,99999,12.39,0.12,14.25,-4.27,-5.41,0.91
HINDZINC,Mining - Diversified,Materials,633.45,313793.32,40.44,24.26,10.46,20.74,21.35,0,44.53,106.27,103.06,2.5
M&M,Four Wheelers,Consumer Discretionary,2933.85,309045.91,27.43,4.61,2.17,99999,13.71,0.82,16.6,109.18,72.65,19.08
COALINDIA,Mining - Coal,Materials,477.95,308752.69,8.25,5.32,2.05,8.65,4.79,5.09,55.32,110.41,30.25,3.69
ADANIPORTS,Ports,Industrials,1448.4,305897.28,37.72,5.59,10.84,20.37,21.42,0,15.95,96.89,34.86,7.68
ADANIGREEN,Renewable Energy,Utilities,1789.65,305187.62,277.44,17.49,28.39,39.57,42.88,0,8.87,86.35,16.83,-0.53
DMART,Retail - Department Stores,Consumer Discretionary,4933.9,304835.91,120.2,18.96,5.98,115.9,71.49,0,15.99,24.1,22.69,8.85
TITAN,"Precious Metals, Jewellery & Watches",Consumer Discretionary,3462.35,302948.15,86.66,32.25,5.87,178.73,54.12,0,32.83,16.63,-4.1,6.89
POWERGRID,Power Transmission & Distribution,Utilities,327.3,296503.25,19.04,3.57,6.32,7.8,10.3,3.53,19.36,79.51,40.14,5
ULTRACEMCO,Cement,Materials,10995.55,294844.46,42.09,5.42,4.12,32.51,22.09,0.69,9.66,34.47,9.77,13.34
ASIANPAINT,Paints,Materials,2891.7,275643.17,50.48,14.19,7.59,45.16,32.66,1.16,30.44,-12.63,-13.32,3.84
ADANIPOWER,Power Generation,Utilities,738.65,272685.58,13.09,6.29,4.52,19.24,10.66,0.01,56.77,180.16,37.95,17.95
SIEMENS,Conglomerates,Industrials,7538,259373.07,132.27,19.81,12.92,185.27,84.44,0.14,15.87,97.97,87.53,6.83
BAJAJFINSV,Insurance,Financials,1594.9,255081.04,31.31,3.29,2.31,99999,22.14,0.06,8.92,3.43,-6.72,0.6
BAJAJ-AUTO,Two Wheelers,Consumer Discretionary,9685.8,249815.63,32.41,8.51,5.36,47.34,23.38,0.91,20.47,110.68,50.89,12.82
WIPRO,IT Services & Consulting,Information Technology,495.75,242123.46,21.92,3.12,2.62,18.54,11.33,0.23,15.85,30.41,13,6.14
IRFC,Specialized Finance,Financials,173.22,240460.51,37.5,5.29,9.02,99999,102.6,0.82,14.66,424.91,73.05,-1.31
IOC,Oil & Gas - Refining & Marketing,Energy,166.75,238366.5,5.71,1.66,0.3,8.04,4.67,6.93,7.04,81.45,33.72,3.13
NESTLEIND,FMCG - Foods,Consumer Staples,2526.05,237929.88,60.5,71.22,9.4,56.99,39.76,1.3,-99999,10.82,-0.9,3.88
JIOFIN,Consumer Finance,Financials,358.3,232149,144.68,2.03,101.68,112.97,114.72,0,0.05,43.95,50.36,1.51
JSWSTEEL,Iron & Steel,Materials,914.95,221392.78,25.12,3.3,1.25,9.49,9.54,0,6.11,18.57,6.55,3.4
TATASTEEL,Iron & Steel,Materials,180.02,218274.55,99999,2.08,0.94,10.07,17.75,2.01,7.88,57.77,32.95,7.33
BEL,Electronic Equipments,Information Technology,309.3,217246.63,54.52,15.65,10.38,171.48,36.6,0.98,22.8,147.74,78.73,15.37
DLF,Real Estate,Real Estate,859.8,207963.31,76.26,5.52,29.89,87.55,78.55,0.6,5.5,77.15,23.17,3.35
VBL,Soft Drinks,Consumer Staples,1623,194693.1,94.7,27.48,12.08,81.43,53.83,0.17,33.43,102.77,38.52,6.99
ABB,Heavy Electrical Equipments,Industrials,8544,178473.47,143.69,30.02,16.6,132.06,97.06,0.28,22.82,97.43,76.57,5.45
VEDL,Metals - Diversified,Materials,448.45,170976.94,25.82,2.61,2.08,12.63,9.65,0,9.78,61.22,71.1,-0.94
GRASIM,Cement,Materials,2447.15,168065.02,29.88,1.37,1.27,99999,10.48,0.39,5.71,39.49,15.99,1.5
TRENT,Retail - Apparel,Consumer Discretionary,5356.8,167627.67,112.74,40.86,12.54,124.26,56.9,0.07,43.95,213.59,78.51,14.8
INDIGO,Airlines,Industrials,4228,164291.83,20.1,99999,2.31,12.91,9.96,0,-99999,73.83,41.66,-1
PFC,Specialized Finance,Financials,499.25,162249.5,8.21,1.45,1.78,99999,27.86,2.75,15.26,216.38,22.14,9.32
ZOMATO,Online Services,Communication Services,198.49,158893.58,452.69,8.17,12.26,99999,173.11,0,-5.4,148.66,52.39,-3.43
AMBUJACEM,Cement,Materials,666.8,156482.23,43.75,3.08,4.53,27.72,19.84,0.28,7.98,47.25,27.65,9.63
TATAMTRDVR,Four Wheelers,Consumer Discretionary,652.75,151860.11,99999,99999,99999,99999,99999,0,-99999,109.69,33.68,3.05
PIDILITIND,Diversified Chemicals,Materials,3117.2,151161.24,87.41,20.3,12.07,97.05,54.46,0.54,18.13,16.6,17.69,5.11
HINDALCO,Metals - Aluminium,Materials,662.4,150601.96,14.83,1.59,0.69,7.84,7.47,0.52,11.67,55.44,17.27,1.56
RECLTD,Specialized Finance,Financials,515.6,145893.78,10.31,2.51,3.07,99999,29.15,2.89,20.41,235.13,18.49,-2.68
SBILIFE,Insurance,Financials,1449.2,143843.23,75.96,11.05,1.08,5.02,67.22,0.19,13.97,13.17,1.73,2.72
LTIM,IT Services & Consulting,Information Technology,5019.85,143335.67,31.28,7.16,3.96,25.28,19.16,1.34,25.02,-0.6,-17.88,6.92
TATAPOWER,Power Transmission & Distribution,Utilities,442.35,142895.58,38.66,4.18,2.2,19.96,13.35,0.45,11.08,98.23,31.69,2.13
BPCL,Oil & Gas - Refining & Marketing,Energy,615.8,141890.82,5.28,2.65,0.31,11.38,4.34,3.15,4.04,64.32,36.92,0.36
PNB,Public Banks,Financials,128.29,139234.29,15.29,1.25,1.13,99999,0.56,1.19,8.5,146.95,40.36,1.93
BANKBARODA,Public Banks,Financials,283.95,139083.79,7.41,1.15,0.98,99999,1.45,2.83,16.55,46.55,25.59,9.87
GAIL,Gas Distribution,Utilities,216.28,134427.5,13.58,2.06,0.99,41.95,8.91,2.69,8.68,100.26,49.78,6.73
GODREJCP,FMCG - Personal Products,Consumer Staples,1391.8,134025.26,99999,9.72,9.33,62.32,180.24,0,13.43,30.47,32.51,8.79
EICHERMOT,Trucks & Buses,Industrials,4880.75,133650.87,33.4,8.92,7.4,46.94,22.71,1.04,21.12,39.58,20.82,5.82
LODHA,Real Estate,Real Estate,1545.5,132862.04,85.77,10.44,12.69,48.31,51.68,0.16,3.91,145.41,67.82,31.92
TECHM,IT Services & Consulting,Information Technology,1381.15,129125.11,54.77,4.55,2.44,23.17,23.06,2.73,17.32,26.29,7.78,4.2
IOB,Public Banks,Financials,66.17,127024.21,47.65,4.61,4.27,99999,28.79,0,8.86,173.43,41.84,3.52
BRITANNIA,FMCG - Foods,Consumer Staples,5360.65,126231.85,58.99,35.41,7.43,49.97,37.67,1.4,75.5,6.76,9.15,6.32
ADANIENSOL,Power Infrastructure,Utilities,1007.75,123451.58,108.55,9.01,7.17,20.45,25.14,0,8.56,24.94,-6.36,-1.31
HDFCLIFE,Insurance,Financials,596.2,121519.35,77.2,9.35,1.19,17.65,124.12,0.35,9.57,-4.84,-10.49,5.71
CIPLA,Pharmaceuticals,Health Care,1559.8,120022.77,29.12,5.06,4.53,37.07,17.02,0.87,12.5,54.24,26.09,12.05
UNIONBANK,Public Banks,Financials,147.25,119465.93,8.71,1.52,1.01,19.55,0.32,0,11.37,105.66,20.45,4.51
HAVELLS,Electrical Components & Equipments,Industrials,1815.65,118433.69,93.2,15.9,6.29,60.65,54.32,0.48,18.06,35.81,32.3,-0.45
INDUSINDBK,Private Banks,Financials,1528.2,112235.3,12.5,2.04,2.04,99999,4.63,1.14,14.45,17.43,-2.45,6.46
DIVISLAB,Labs & Life Sciences Services,Health Care,4479.7,109436.77,68.4,8.57,13.37,44.49,41.36,0.73,14.89,24.97,20.3,16.74
ZYDUSLIFE,Pharmaceuticals,Health Care,1073.55,108270.78,28.05,5.5,5.45,40.27,19.45,0.28,10.12,94.7,56.53,-5.49
ATGL,Gas Distribution,Utilities,927.4,107753.89,161.43,30.1,23.75,112.82,93.39,0.03,20.47,41.04,-9.63,2.87
JINDALSTEL,Iron & Steel,Materials,1046.95,107179.57,18.05,2.75,2.14,14.73,11.11,0.19,8.34,82.24,43.54,1.61
BHEL,Heavy Electrical Equipments,Industrials,297.05,106429.27,377.11,3.97,4.34,99999,86.06,0.08,1.79,240.07,60.78,-2.22
TVSMOTOR,Two Wheelers,Consumer Discretionary,2437.75,106348.25,63.06,18,2.71,99999,22.67,0.36,24.24,84.7,23.83,13.34
CANBK,Public Banks,Financials,121.16,106308.03,6.96,1.14,0.76,7.07,99999,2.75,17.76,98.62,35.84,6.31
CHOLAFIN,Consumer Finance,Financials,1450.65,105926.17,30.97,7.38,5.45,99999,41.61,0.16,20.41,28.12,16.08,12.88
JSWENERGY,Power Generation,Utilities,698.4,104771.65,60.82,4.99,8.76,16.81,22.42,0.31,8.67,175.39,61.91,18.88
TATACONSUM,Tea & Coffee,Consumer Staples,1105.6,104645.08,90.97,6,6.77,54.03,48.49,0.71,6.66,29.01,14.43,3.01
CUMMINSIND,Industrial Machinery,Industrials,3791.5,102947.92,59.83,17.88,10.7,125.6,42.19,0.54,22.53,102.09,91.81,0.15
NHPC,Renewable Energy,Utilities,100.1,102911.38,28.39,2.47,9.03,21.93,20.27,1.85,9.79,119.52,54.36,3.78
IDEA,Telecom Services,Communication Services,16.92,102497.11,99999,99999,2.36,5.43,18.87,0,-99999,122.63,20.86,24.35
HEROMOTOCO,Two Wheelers,Consumer Discretionary,5647.7,102330.74,27.33,6.1,2.65,39.15,16.7,2.73,17.15,102.96,47.77,12.99
POLYCAB,Electrical Components & Equipments,Industrials,7002.7,100431.33,56.29,15.06,5.5,70.35,36.35,0.45,20.76,98.4,24.81,8.74
DABUR,FMCG - Personal Products,Consumer Staples,598.55,98897.51,53.67,10.47,7.67,66.44,34.52,0.98,19.11,5.17,9.18,11.72
CGPOWER,Heavy Electrical Equipments,Industrials,675.45,98851.63,69.27,55.18,11.32,104.4,54.16,0.2,68.88,85.31,48.19,6.03
DRREDDY,Pharmaceuticals,Health Care,5956.2,97681.44,17.51,4.19,3.38,16.59,10.5,0.68,21.21,22.08,5.65,3.37
MOTHERSON,Auto Parts,Consumer Discretionary,182.3,94971.55,34.96,3.9,0.96,20.45,11.2,0.57,6.4,124.51,89.21,37.13
IDBI,Private Bank,Financials,86.53,93814.71,16.35,2.02,3.09,99999,7.72,1.72,8.31,58.63,24.32,-0.29
INDUSTOWER,Telecom Infrastructure,Communication Services,334,93399.91,15.47,4.42,3.22,11.82,7.53,0,9.43,107.71,69.8,-0.19
SHREECEM,Cement,Materials,27443.4,91848.78,38.34,4.92,4.35,35.76,17.8,0.41,7.02,5.56,-4,5.47
BOSCHLTD,Auto Parts,Consumer Discretionary,32892.55,90958.83,36.51,8.27,4.97,74.94,24.11,1.22,13.15,73.63,50.27,8.17
SOLARINDS,Commodity Chemicals,Materials,9867.95,90556.11,108.33,32.92,14.81,137.94,64.79,0.08,31.78,157.39,45.93,12.69
SHRIRAMFIN,Consumer Finance,Financials,2791.25,90111.95,12.23,2.06,2.47,99999,22.65,1.87,17.2,89.9,35.53,19.23
BAJAJHLDNG,Asset Management,Financials,8199.7,89390.39,12.3,1.73,11.66,51.74,12.86,1.63,9.41,17.3,4.76,1.08
IRCTC,Online Services,Communication Services,1014.65,88724,79.85,35.8,20.01,109.52,55.27,0,46.26,51.93,15.03,-6.61
TORNTPHARM,Pharmaceuticals,Health Care,2885.55,88420.56,53.39,14.27,8.13,37.34,26.48,1.07,20.5,55.39,32.94,7.2
UNITDSPR,Alcoholic Beverages,Consumer Staples,1272.85,85707.39,60.87,14.29,7.42,139.43,38.38,0.42,20.9,39.32,17.18,6.82
APOLLOHOSP,Hospitals & Diagnostic Centres,Health Care,6173.55,85039.28,94.64,13.02,4.43,61.77,35.22,0.1,13.17,19.99,11.13,3.94
ICICIPRULI,Insurance,Financials,601.85,83524.11,98.19,7.59,0.91,99999,73.48,0.1,8.07,9.58,15.75,3.32
MANKIND,Pharmaceuticals,Health Care,2213.25,82643.02,43.2,10.84,7.77,45.58,28.78,0,18.39,30.15,13.94,7.36
ICICIGI,Insurance,Financials,1759.75,81833.7,42.65,6.7,3.97,34,30.32,0.66,16.94,39.67,22.03,4.88
NAUKRI,Online Services,Communication Services,6241.75,81816.61,142.24,5.67,27.73,157.1,81.51,0.35,-0.66,40.53,19.88,-0.96
HDFCAMC,Asset Management,Financials,3900.3,81471.44,41.94,13.34,25.75,70.88,32.23,1.83,24.46,106.1,24.93,5.02
INDHOTEL,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,617.05,81114.29,64.42,8.01,11.67,41.92,35.18,0.31,13.42,55.76,38.8,8.6
NMDC,Mining - Iron Ore,Materials,262.1,78510.93,14.08,3.47,3.46,31.84,8.57,2.71,27.55,146.91,35.38,-5.2
MARICO,FMCG - Personal Products,Consumer Staples,622.45,78175.69,52.79,19.76,7.98,55.09,35.8,1.57,35.38,16.36,13.62,4.78
LINDEINDIA,Commodity Chemicals,Materials,8938.5,77705.01,179.01,24.75,27.23,123.5,97.24,0,-99999,104.87,58.41,-3.76
RVNL,Specialized Finance,Financials,390.9,77249.99,49.06,10.55,3.33,99999,30.96,0.57,20.81,214.1,112.62,30.55
HINDPETRO,Oil & Gas - Refining & Marketing,Energy,515.5,77091.01,4.81,2.39,0.18,99999,4.95,5.8,-18.95,89,35.44,5.03
INDIANB,Public Banks,Financials,545,76992.46,9.14,1.28,1.2,99999,3.02,2.1,15.33,92.21,21.96,0.57
MAXHEALTH,Hospitals & Diagnostic Centres,Health Care,899.95,76722.77,72.54,10.35,13.74,63.45,45.47,0.19,16.12,49.58,35.53,8.05
GODREJPROP,Real Estate,Real Estate,3000.8,76099.95,104.93,8.19,17.45,99999,66.4,0,6.36,97.21,51.82,8.41
TIINDIA,Cycles,Consumer Discretionary,4357.85,73981.49,61.62,14.93,4.19,53.39,27.07,0.1,22.02,46.74,21.08,16.35
LUPIN,Pharmaceuticals,Health Care,1572.3,73574.02,38.43,5.87,3.65,38.78,19.45,0.49,3.47,90.55,23.78,-2.74
BHARATFORG,Iron & Steel,Materials,1703.4,73260.37,77.03,10.87,4.6,56.59,28.26,0.57,7.9,106.34,39.52,13.98
COLPAL,FMCG - Personal Products,Consumer Staples,2896.3,72995.5,55.15,42.53,12.68,62.06,36.85,2.16,60.69,75.59,19.65,9.72
AUROPHARMA,Pharmaceuticals,Health Care,1221.7,72366.35,22.81,2.7,2.45,30.32,11.54,0.12,7.5,80.18,18.28,3.35
SCHAEFFLER,Auto Parts,Consumer Discretionary,4658.65,72163.84,80.27,15.02,9.78,81.59,48.99,0.56,19.78,46.62,52.77,10.53
YESBANK,Private Banks,Financials,23.81,72058.18,56.07,1.77,2.19,99999,34.27,0,1.98,46.52,7.49,2.81
OIL,Oil & Gas - Exploration & Production,Energy,696.4,71776.78,11.33,1.71,2.09,6.29,7.55,2.38,23.27,174.23,103.98,3.82
SAIL,Iron & Steel,Materials,149.95,70012.4,22.83,1.28,0.66,99999,8.48,0.59,4,74.56,35.03,-8.93
SUPREMEIND,Plastic Products,Materials,6186.3,69517.36,64.99,13.61,6.74,49.2,39.76,0.55,22.49,106.53,39.6,10.88
UCOBANK,Public Banks,Financials,56.31,68089.18,40.73,2.5,2.71,67.97,13.71,0.49,6.33,110.71,34.71,5.45
MUTHOOTFIN,Consumer Finance,Financials,1740.45,68045.75,15.74,3.07,4.49,99999,19.1,1.42,17.5,47.43,17.15,1.94
SRF,Diversified Chemicals,Materials,2416.75,67854.61,50.8,5.91,5.13,32.41,27.02,0.32,12.25,0.5,-0.55,6.66
SBICARD,Payment Infrastructure,Financials,730,67476.16,28.02,5.58,3.86,99999,30.52,0.35,21.98,-19.38,-6.02,1.62
TORNTPOWER,Power Transmission & Distribution,Utilities,1589.9,67315.19,36.72,5.86,2.45,19.48,15.74,1.71,19.73,138.31,72.16,16.55
CONCOR,Logistics,Industrials,1103.05,67196.03,53.31,5.93,7.45,47.8,27.85,0.23,10.58,66.89,28.2,2.93
OBEROIRLTY,Real Estate,Real Estate,1863.85,65475.67,33.99,4.73,13.56,23.3,24.34,0.22,14.79,84.7,30.67,9.44
OFSS,Software Services,Information Technology,9833.35,65398.81,29.47,8.77,9.74,37.19,19.2,3.17,24.81,154.46,124.83,23.46
ALKEM,Pharmaceuticals,Health Care,5184.85,65182.65,36.3,6.91,5.02,38.74,26.3,0.73,10.77,52.38,5.03,-4.94
PRESTIGE,Real Estate,Real Estate,1867.4,64877.45,47.21,6.32,6.88,42.14,17.93,0.11,9.43,228.1,64.54,22.13
GICRE,Insurance,Financials,381,64746.13,9.68,1.43,1.39,5.52,5.18,2.71,17.01,102.23,17.94,12.5
MAZDOCK,Shipbuilding,Industrials,3969.45,64077.92,33.08,13.46,6.06,74.72,20.21,0.48,25.97,225.87,85.49,46.2
SUZLON,Renewable Energy Equipment & Services,Industrials,48.9,62554.81,94.73,56.91,9.52,134.05,63.28,0,-99999,236.08,30.4,17
ASHOKLEY,Trucks & Buses,Industrials,234.01,61868.42,24.91,5.73,1.35,99999,11.18,2.35,12.8,39.33,33.49,13.38
ABCAPITAL,Diversified Financials,Financials,238.1,59439.58,17.82,2.72,1.7,99999,30.02,0,24.65,32.68,44.52,5.83
BANKINDIA,Public Banks,Financials,122.89,59139.16,9.01,0.84,0.88,99999,99999,2.16,10,63.53,8.42,-1.04
BALKRISIND,Tires & Rubber,Consumer Discretionary,3289.6,58842.85,39.99,7.79,5.99,40.64,22.68,0.53,14.59,40.17,31.08,13.24
JSL,Iron & Steel,Materials,793.8,58076.84,21.41,4.85,1.49,18.76,12.11,0.43,19.35,142.6,45.89,15.28
THERMAX,Industrial Machinery,Industrials,5117.3,57927.61,89.77,14.97,6.01,126.05,50.91,0.23,12.23,115.25,69.89,7.09
ASTRAL,Building Products - Pipes,Industrials,2204.6,57727.94,105.71,19.51,10.16,103.66,59.75,0.1,17.15,11.9,15.49,5.27
PHOENIXLTD,Real Estate,Real Estate,3659.7,57344.88,52.17,5.18,13.95,42.29,27.15,0.16,13.29,133.59,62.48,23.52
POLICYBZR,Online Services,Communication Services,1354.1,57220.84,854.3,10.43,14.99,99999,291.91,0,-8.94,104.7,69.29,-0.21
CENTRALBK,Public Banks,Financials,65.01,57120.58,22.25,1.95,1.61,99999,3.2,0,5.9,135.97,24.9,4.81
SJVN,Renewable Energy,Utilities,131.91,56923.08,62.45,4.11,19.23,34.88,30.74,1.24,10.06,242.62,44.48,-0.72
BERGEPAINT,Paints,Materials,497.65,56855.87,48.69,12.63,5.03,58.26,29.38,0.72,20.37,-11.61,-16.11,2.57
JSWINFRA,Ports,Industrials,302.2,56478.09,48.86,13.81,14.01,31.43,26.5,0.18,19.57,92.12,34.43,11.85
ABBOTINDIA,Pharmaceuticals,Health Care,26909.8,55656.28,46.33,17.46,9.13,62.3,31.64,1.57,31.6,16.53,17.5,2.24
DIXON,Home Electronics & Appliances,Consumer Discretionary,11336.35,55623.32,151.25,43,3.14,76.64,76.4,0.05,22.31,143.52,78.07,28.18
MRF,Tires & Rubber,Consumer Discretionary,124948.75,55575.75,26.7,3.78,2.18,20.17,12.33,0.15,5.35,25.25,5.19,-2.1
PIIND,Diversified Chemicals,Materials,3650.6,55078.01,32.76,7.65,6.99,36.68,23.24,0.41,18.46,-5.28,7.56,2.67
IDFCFIRSTB,Private Banks,Financials,82.17,54943.69,18.67,2.13,1.52,15.42,10.67,0,10.59,1.07,-8.85,5.52
PERSISTENT,Software Services,Information Technology,3842.55,54155.81,49.53,13.66,5.44,56.66,29.78,0.73,25.12,55.47,8.79,9.19
GMRINFRA,Construction & Engineering,Industrials,97.88,52482.54,99999,54.17,5.5,22.83,21.24,0,-12.42,130.04,29.3,14.57
TATACOMM,Telecom Services,Communication Services,1831.25,52398.68,54.11,33.84,2.47,11.95,13.84,0.91,143.41,15.1,2.2,3.41
HUDCO,Specialized Finance,Financials,283.15,51789.15,24.47,3.35,6.52,99999,40.17,1.6,11.38,377.09,158,14.69
PATANJALI,Packaged Foods & Meats,Consumer Staples,1468.7,51779.69,67.67,5.22,1.62,99999,34.24,0.84,10.89,26.06,-8.17,3.99
PGHH,FMCG - Personal Products,Consumer Staples,16459.5,51354.99,75.73,54.28,12.97,62.19,55.41,1.17,80.56,18.14,-5.12,6.34
BHARTIHEXA,Telecom Services,Communication Services,1148.6,51102.5,101.31,12.14,6.96,10,17.89,0,13.96,41.23,41.23,20.08
COCHINSHIP,Shipbuilding,Industrials,2256.2,50315.51,64.24,11.36,12.15,26.64,39.15,0,6.91,661.33,245.01,56.81
IREDA,Specialized Finance,Financials,175.78,49871.47,39.83,5.83,10.04,99999,57.6,0,17.28,192.97,56.32,0.7
UBL,Alcoholic Beverages,Consumer Staples,2095.95,49565.39,120.88,12.49,6.05,99999,63.89,0.53,7.69,40.43,23.51,10.33
ACC,Cement,Materials,2621.55,48998.39,20.97,3,2.37,16.36,12.31,0.29,15.33,43.62,19.01,5.83
SUNDARMFIN,Consumer Finance,Financials,4706.4,48813.56,33.99,3.86,6.7,99999,43.42,0.36,11.11,81.57,28.92,-2.57
LTTS,Software Services,Information Technology,4864.55,48539.59,37.23,9.08,4.93,32.52,21.89,1.09,26.6,24.54,-6.01,8.98
MAHABANK,Public Banks,Financials,65.45,48259.56,11.85,2.43,2.05,4.17,3.9,2.05,22.84,134.59,36.92,1.44
NYKAA,Wellness Services,Consumer Discretionary,174.02,48015.4,1488.39,34.49,7.48,99999,129.44,0,1.41,15.67,1.47,-0.83
APLAPOLLO,Building Products - Pipes,Industrials,1571.15,47019.6,64.2,15.64,2.58,68.14,37.52,0.32,23.47,18.56,-1.75,-7.01
POWERINDIA,Heavy Electrical Equipments,Industrials,11375.75,46849.76,286.05,38.55,8.93,8724.35,131.25,0.04,8,176.17,124.63,2.93
